17;Wooden Arrow;false;arrow;6;stackable;wood;none;-1;1;0;true;true;true;true
57;Adena;false;none;0;asset;gold;none;-1;1;0;false;true;true;true
65;Red Potion;false;potion;80;stackable;liquid;none;-1;40;0;true;true;true;true
686;Chair;false;none;100;normal;wood;none;-1;1000;0;true;true;true;true
687;Darin's Letter;false;quest;0;normal;paper;none;-1;0;0;false;false;true;false
688;Roxxy's Kerchief;false;quest;0;normal;cloth;none;-1;0;0;false;false;true;false
689;Poetry Book;false;quest;0;normal;paper;none;-1;0;0;false;false;true;false
690;Lyrics Book;false;quest;0;normal;paper;none;-1;0;0;false;false;true;false
691;Romance Novel;false;quest;0;normal;paper;none;-1;0;0;false;false;true;false
692;Arujien's Letter;false;quest;0;normal;paper;none;-1;0;0;false;false;true;false
693;Greenis's Letter;false;quest;0;normal;paper;none;-1;0;0;false;false;true;false
694;Ingredient List;false;quest;0;normal;paper;none;-1;0;0;false;false;true;false
695;Omen Beast's Blood;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
696;Mana Seeker's Husk;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
697;Gargoyle's Horn;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
698;Gilbert's List;false;quest;0;normal;steel;none;-1;0;0;false;false;true;false
699;Orc's Nose;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
700;Hobgoblin Amulet;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
701;Fungus Juice;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
702;Wolf Pelt;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
703;Poison Sac;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
704;Fever Medicine;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
705;Orc's Amulet;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
706;Basilisk's Claw;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
707;Spore Sac;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
708;Sylph Headband;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
709;Leather Shirt;false;none;400;normal;leather;none;-1;0;0;false;false;true;false
710;Hard Leather Shirt;false;none;400;normal;leather;none;-1;0;0;false;false;true;false
711;Piece Bone Breastplate;false;none;800;normal;bone;none;-1;0;0;false;false;true;false
712;Half Plate Armor;false;none;1200;normal;steel;none;-1;0;0;false;false;true;false
713;Leather Pants;false;none;250;normal;leather;none;-1;0;0;false;false;true;false
714;Hard Leather Pants;false;none;300;normal;leather;none;-1;0;0;false;false;true;false
715;Piece Bone Gaiters;false;none;500;normal;bone;none;-1;0;0;false;false;true;false
716;Plate Gaiters;false;none;800;normal;steel;none;-1;0;0;false;false;true;false
717;Leather Gloves;false;none;100;normal;leather;none;-1;0;0;false;false;true;false
718;Hard Leather Gloves;false;none;150;normal;leather;none;-1;0;0;false;false;true;false
719;Crafted Leather Gloves;false;none;150;normal;leather;none;-1;0;0;false;false;true;false
720;Reinforced Gloves;false;none;200;normal;steel;none;-1;0;0;false;false;true;false
721;Leather Boots;false;none;150;normal;leather;none;-1;0;0;false;false;true;false
722;Hard Leather Boots;false;none;150;normal;leather;none;-1;0;0;false;false;true;false
723;Crafted Leather Boots;false;none;200;normal;leather;none;-1;0;0;false;false;true;false
724;Reinforced Boots;false;none;250;normal;steel;none;-1;0;0;false;false;true;false
725;Healing Drug;false;potion;180;stackable;liquid;none;-1;50;0;true;true;true;true
726;Mana Drug;false;potion;180;stackable;liquid;none;-1;80;0;true;true;true;true
727;Healing Potion;false;potion;180;stackable;liquid;none;-1;80;0;true;true;true;true
728;Mana Potion;false;potion;180;stackable;liquid;none;-1;2000;0;true;true;true;true
729;Scroll: Enchant Weapon (A);false;scroll;120;stackable;paper;none;-1;1800000;0;true;true;true;true
730;Scroll: Enchant Armor (A);false;scroll;120;stackable;paper;none;-1;240000;0;true;true;true;true
731;Crystal Scroll: Enchant Weapon (A);false;scroll;120;stackable;paper;none;-1;240000;0;true;true;true;true
732;Crystal Scroll: Enchant Armor (A);false;scroll;120;stackable;paper;none;-1;240000;0;true;true;true;true
733;Endeavor Potion;false;potion;180;stackable;liquid;none;-1;500;0;true;true;true;true
734;Haste Potion;false;potion;20;stackable;liquid;none;-1;1200;0;true;true;true;true
735;Potion of Alacrity;false;potion;20;stackable;liquid;none;-1;2400;0;true;true;true;true
736;Scroll of Escape;false;scroll;120;stackable;paper;none;-1;399;0;true;true;true;true
737;Scroll of Resurrection;false;scroll;120;stackable;paper;none;-1;1999;0;true;true;true;true
739;Broken Sword Handle;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
740;Broken Blade Bottom;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
741;Broken Blade Top;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
742;Altran's Note;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
745;Cobendell Medicine;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
746;Alberius's List;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
750;Kinship Crystal;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
751;Cracked Kinship Crystal;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
752;Orc Amulet;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
753;Silverleaf Brooch;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
755;Colleen's Letter;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
756;Mandragora Root;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
757;Mandragora Essence;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
758;Colleen's Receipt;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
759;Etched Rune Sword;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
760;Macabre Sword;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
761;Thanatos Sword;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
762;Gray Bone Chip;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
763;Esther's Letter;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
764;Arbon's Letter;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
765;Conspirator List;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
766;Sabrin's Signet;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
767;Sealed Scroll;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
768;Oyen's Key;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
769;Ricardo's Skull;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
770;Shield of Honor;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
771;Saythus's Skull;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
772;Trayer's Skull;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
773;Falimar's Skull;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
774;Fallen Sword of Honor;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
775;Sword of Honor;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
776;Nameless Sword;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
777;Sword of Black Ice;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
778;Arodin's Letter;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
779;Sabrin's Ring;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
780;Arbon's Letter;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
781;Madclaw's Necklace;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
782;Alex's Letter;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
783;Alex's Receipt;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
784;Glass Dagger;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
785;Broken Glass Dagger;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
786;Shadowguard Dagger;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
787;Coroli's Key;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
788;Midnight Onyx Necklace;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
789;Song: Moonlight Whisper;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
790;Bloodsteel Kris;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
791;Karlun's Skull;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
792;Karlun's Rib Bone;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
793;Karlun's Thigh Bone;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
794;Saint's Ash Urn;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
795;Mace of Athebaldt;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
796;Roien's Letter;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
797;Manuel's Letter;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
798;Varan's Letter;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
799;Groot's Letter;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
800;Tome of Nassen;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
801;Cursed Tome of Nassen;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
802;Bloodthirsty Dagger;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
803;Bloody Dagger;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
804;Staff of Shane;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
805;Pinter's Bill;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
806;Drake's Claw;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
807;Flawless Drake's Claw;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
808;Pushkin's Letter;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
809;Bone Fragment;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
810;Altran's Letter;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
811;Oil Paper;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
812;Adamantium Ore;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
813;Heart Stone;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
814;Pushkin's Receipt;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
815;Leather Strap;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
816;Widow Maker;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
817;Mithril Bottle;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
818;Grace Unicorn's Horn;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
819;Drake's Bone;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
820;Zahak Fluids;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
821;Bone Knife;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
822;Drake Knife;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
823;Dull Dagger;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
824;Siriel's Note;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
825;Raien's Letter;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
826;Silver Spores;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
827;Star Dust;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
828;Song of Awakening;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
829;Spirit Dagger;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
830;Medallion of Kwyllinas;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
831;Echo Crystal;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
832;Green Echo Crystal;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
833;Red Echo Crystal;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
834;Aquamarine Echo Crystal;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
835;Blue Echo Crystal;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
836;Book of Kwyllinas;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
837;Fairy Dust;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
838;Vellior's Letter;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
839;Icarus's Letter;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
840;Drevanul Skull;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
841;Icarus's Order Form;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
842;Basilisk Ink;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
843;Book of Aklantoth;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
844;Book of Aklantoth P1 ~ P10;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
937;Directions to Ruins;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
938;Deck;false;none;0;normal;silver;none;-1;0;0;false;true;true;false
939;Gara's Quest Item #11;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
940;Gara's Quest Item #12;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
941;Gara's Proof of Bravery;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
942;Gara's Proof of Justice;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
943;Gara's Proof of Despair;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
944;Deathknight Skull;false;quest;0;stackable;steel;none;-1;0;0;false;false;true;false
947;Scroll: Enchant Weapon (B);false;scroll;120;stackable;paper;none;-1;500000;0;true;true;true;true
948;Scroll: Enchant Armor (B);false;scroll;120;stackable;paper;none;-1;80000;0;true;true;true;true
949;Crystal Scroll: Enchant Weapon (B);false;scroll;120;stackable;paper;none;-1;80000;0;true;true;true;true
950;Crystal Scroll: Enchant Armor (B);false;scroll;120;stackable;paper;none;-1;80000;0;true;true;true;true
951;Scroll: Enchant Weapon (C);false;scroll;120;stackable;paper;none;-1;110000;0;true;true;true;true
952;Scroll: Enchant Armor (C);false;scroll;120;stackable;paper;none;-1;15000;0;true;true;true;true
953;Crystal Scroll: Enchant Weapon (C);false;scroll;120;stackable;paper;none;-1;15000;0;true;true;true;true
954;Crystal Scroll: Enchant Armor (C);false;scroll;120;stackable;paper;none;-1;15000;0;true;true;true;true
