21;Shirt;chest;false;light;4830;cloth;none;0;-1;36;0;0;147;0;true;true;true;true
22;Leather Shirt;chest;false;light;4830;leather;none;0;-1;43;0;0;2430;0;true;true;true;true
23;Wooden Breastplate;chest;false;light;4820;wood;none;0;-1;47;0;0;7960;0;true;true;true;true
24;Bone Breastplate;chest;false;light;4770;bone;none;0;-1;50;0;0;15599;0;true;true;true;true
25;Piece Bone Breastplate;chest;false;heavy;8970;bone;none;0;-1;62;0;0;24479;0;true;true;true;true
26;Bronze Breastplate;chest;false;heavy;8920;bronze;none;0;-1;68;0;0;37820;0;true;true;true;true
27;Hard Leather Shirt;chest;false;light;4720;leather;none;0;-1;53;0;0;28399;0;true;true;true;true
28;Pants;legs;false;light;1740;cloth;none;0;-1;22;0;0;92;0;true;true;true;true
29;Leather Pants;legs;false;light;1730;leather;none;0;-1;27;0;0;1520;0;true;true;true;true
30;Hard Leather Pants;legs;false;light;1700;leather;none;0;-1;29;0;0;4970;0;true;true;true;true
31;Bone Gaiters;legs;false;light;1680;bone;none;0;-1;32;0;0;9770;0;true;true;true;true
32;Piece Bone Gaiters;legs;false;heavy;4020;bone;none;0;-1;39;0;0;15299;0;true;true;true;true
33;Hard Leather Gaiters;legs;false;light;1610;leather;none;0;-1;33;0;0;17700;0;true;true;true;true
34;Bronze Gaiters;legs;false;heavy;3960;bronze;none;0;-1;43;0;0;23599;0;true;true;true;true
35;Cloth Shoes;feet;false;none;1320;cloth;none;0;-1;9;0;0;37;0;true;true;true;true
36;Leather Sandals;feet;false;none;1320;leather;none;0;-1;9;0;0;37;0;true;true;true;true
37;Leather Shoes;feet;false;none;1320;leather;none;0;-1;13;0;0;2650;0;true;true;true;true
38;Low Boots;feet;false;none;1320;leather;none;0;-1;15;0;0;5210;0;true;true;true;true
39;Boots;feet;false;none;1310;cloth;none;0;-1;17;0;0;9500;0;true;true;true;true
40;Leather Boots;feet;true;none;1300;leather;d;0;-1;19;0;0;16099;29;true;true;true;true
41;Cloth Cap;head;false;none;660;cloth;none;0;-1;13;0;0;55;0;true;true;true;true
42;Leather Cap;head;false;none;660;leather;none;0;-1;16;0;0;911;0;true;true;true;true
43;Wooden Helmet;head;false;none;660;wood;none;0;-1;19;0;0;3980;0;true;true;true;true
44;Leather Helmet;head;false;none;650;leather;none;0;-1;23;0;0;7819;0;true;true;true;true
45;Bone Helmet;head;true;none;640;bone;d;0;-1;29;0;0;24099;44;true;true;true;true
46;Bronze Helmet;head;true;none;630;bronze;d;0;-1;33;0;0;38400;70;true;true;true;true
47;Helmet;head;true;none;640;fine_steel;d;0;-1;37;0;0;58599;107;true;true;true;true
48;Short Gloves;gloves;false;none;660;cloth;none;0;-1;9;0;0;37;0;true;true;true;true
49;Gloves;gloves;false;none;660;cloth;none;0;-1;13;0;0;2650;0;true;true;true;true
50;Leather Gloves;gloves;false;none;650;leather;none;0;-1;15;0;0;5210;0;true;true;true;true
51;Bracer;gloves;false;none;650;leather;none;0;-1;17;0;0;9500;0;true;true;true;true
52;Hemp Cloak;underwear;false;none;260;cloth;none;0;-1;2;0;0;37;0;true;true;true;true
53;Cotton Cloak;underwear;false;none;250;cloth;none;0;-1;3;0;0;607;0;true;true;true;true
54;Silk Cloak;underwear;false;none;250;cloth;none;0;-1;4;0;0;2650;0;true;true;true;true
55;Cotton Undergarment;underwear;false;none;170;cotton;none;0;-1;4;0;0;18;0;true;true;true;true
56;Wool Undergarment;underwear;false;none;170;wood;none;0;-1;5;0;0;304;0;true;true;true;true
58;Mithril Breastplate;chest;true;heavy;8670;mithril;d;0;-1;95;0;0;141100;257;true;true;true;true
59;Mithril Gaiters;legs;true;heavy;3830;mithril;d;0;-1;61;0;0;97599;177;true;true;true;true
60;Composite Armor;fullarmor;true;heavy;10980;fine_steel;c;0;-1;224;0;0;1227000;491;true;true;true;true
61;Mithril Gloves;gloves;true;none;630;mithril;d;0;-1;29;0;0;75200;137;true;true;true;true
62;Mithril Boots;feet;true;none;1230;leather;c;0;-1;32;0;0;97099;39;true;true;true;true
63;Gauntlets;gloves;true;none;640;cloth;d;0;-1;24;0;0;39100;71;true;true;true;true
64;Composite Boots;feet;true;none;1220;fine_steel;c;0;-1;36;0;0;188799;76;true;true;true;true
112;Apprentice's Earring;lrear;false;none;150;silver;none;0;-1;0;11;0;49;0;true;true;true;true
113;Mystic's Earring;lrear;false;none;150;silver;none;0;-1;0;13;0;811;0;true;true;true;true
114;Earring of Strength;lrear;false;none;150;gold;none;0;-1;0;16;0;3510;0;true;true;true;true
115;Earring of Wisdom;lrear;false;none;150;gold;none;0;-1;0;16;0;3510;0;true;true;true;true
116;Magic Ring;lrfinger;false;none;150;gold;none;0;-1;0;7;0;33;0;true;true;true;true
117;Ring of Mana;lrfinger;true;none;150;silver;b;0;-1;0;34;0;404000;54;true;true;true;true
118;Necklace of Magic;neck;false;none;150;silver;none;0;-1;0;15;0;66;0;true;true;true;true
119;Necklace of Binding;neck;true;none;150;adamantaite;c;0;-1;0;64;0;434399;174;true;true;true;true
347;Ring Mail Breastplate;chest;true;heavy;8820;steel;d;0;-1;77;0;0;64209;117;true;true;true;true
348;Scale Mail;chest;true;heavy;8720;steel;d;0;-1;87;0;0;102499;186;true;true;true;true
349;Compound Scale Mail;chest;true;heavy;8620;fine_steel;d;0;-1;95;0;0;141100;257;true;true;true;true
350;Dwarven Scale Mail;chest;true;heavy;8540;fine_steel;d;0;-1;95;0;0;141100;257;true;true;true;true
351;Blast Plate;chest;true;heavy;8420;fine_steel;d;0;-1;97;0;0;156200;284;true;true;true;true
352;Brigandine Tunic;chest;true;heavy;8320;fine_steel;d;0;-1;103;0;0;229699;418;true;true;true;true
353;Half Plate Armor;chest;true;heavy;8220;fine_steel;d;0;-1;111;0;0;300800;547;true;true;true;true
354;Chain Mail Shirt;chest;true;heavy;8120;fine_steel;c;0;-1;120;0;0;388599;155;true;true;true;true
355;Dwarven Chain Mail Shirt;chest;true;heavy;8070;fine_steel;c;0;-1;129;0;0;495499;198;true;true;true;true
356;Full Plate Armor;fullarmor;true;heavy;10480;fine_steel;c;0;-1;239;0;0;1787999;715;true;true;true;true
357;Zubei's Breastplate;chest;true;heavy;7970;mithril;b;0;-1;157;0;0;2080000;277;true;true;true;true
358;Blue Wolf Breastplate;chest;true;heavy;7820;oriharukon;b;0;-1;166;0;0;3220000;429;true;true;true;true
359;Shining Dragon Armor;fullarmor;true;heavy;6400;mithril;b;0;-1;301;0;0;6770000;903;true;true;true;true
360;Armor of Victory;chest;true;heavy;3360;oriharukon;b;0;-1;175;0;0;3220000;429;true;true;true;true
361;Breastplate of Valor;chest;true;heavy;3360;blood_steel;b;0;-1;185;0;0;4630000;617;true;true;true;true
362;Glorious Armor;fullarmor;true;heavy;6720;fine_steel;b;0;-1;284;0;0;4710000;628;true;true;true;true
