1;Short Sword;rhand;false;1600;1;1;steel;none;8;10;sword;8;0.00000;0;0;0;379;0;6;-1;768;0;true;true;true;true
2;Long Sword;rhand;false;1560;2;2;fine_steel;none;24;10;sword;8;0.00000;0;0;0;379;0;17;-1;104999;0;true;true;true;true
3;Broadsword;rhand;false;1590;1;1;steel;none;11;10;sword;8;0.00000;0;0;0;379;0;9;-1;12500;0;true;true;true;true
4;Club;rhand;false;1870;1;1;wood;none;8;20;blunt;4;4.00000;0;0;0;379;0;6;-1;768;0;true;true;true;true
5;Mace;rhand;false;1880;1;1;steel;none;11;20;blunt;4;4.00000;0;0;0;379;0;9;-1;12500;0;true;true;true;true
6;Apprentice's Wand;rhand;false;1350;1;1;steel;none;5;20;blunt;4;4.00000;0;0;0;379;0;7;-1;138;0;false;false;true;false
7;Apprentice's Rod;rhand;false;1330;1;1;wood;none;6;20;blunt;4;4.00000;0;0;0;379;0;8;-1;768;0;true;true;true;true
8;Willow Staff;lrhand;false;1080;1;1;wood;none;11;20;bigblunt;4;4.00000;0;0;0;325;0;12;-1;12500;0;true;true;true;true
9;Cedar Staff;lrhand;false;1090;2;2;wood;none;16;20;bigblunt;4;4.00000;0;0;0;325;0;16;-1;54100;0;true;true;true;true
10;Dagger;rhand;false;1160;1;1;steel;none;5;5;dagger;12;-3.00000;0;0;0;433;0;5;-1;138;0;false;false;true;false
11;Bone Dagger;rhand;false;1150;1;1;bone;none;7;5;dagger;12;-3.00000;0;0;0;433;0;6;-1;768;0;true;true;true;true
12;Knife;rhand;false;1140;1;1;bronze;none;10;5;dagger;12;-3.00000;0;0;0;433;0;9;-1;12500;0;true;true;true;true
13;Short Bow;lrhand;false;1950;1;1;wood;none;16;5;bow;12;-3.00000;0;0;0;293;1;6;-1;768;0;true;true;true;true
14;Bow;lrhand;false;1930;1;1;wood;none;23;5;bow;12;-3.00000;0;0;0;293;1;9;-1;12500;0;true;true;true;true
15;Short Spear;lrhand;false;2140;2;2;steel;none;24;10;pole;8;-3.00000;0;0;0;325;0;17;-1;104999;0;true;true;true;true
16;Great Spear;lrhand;false;2120;2;2;bronze;none;31;10;pole;8;-3.00000;0;0;0;325;0;21;-1;187999;0;true;true;true;true
18;Leather Shield;lhand;false;1430;0;0;leather;none;0;0;none;0;0.00000;-8;47;20;0;0;0;-1;39;0;true;true;true;true
19;Small Shield;lhand;false;1420;0;0;steel;none;0;0;none;0;0.00000;-8;56;20;0;0;0;-1;638;0;true;true;true;true
20;Buckler;lhand;false;1410;0;0;wood;none;0;0;none;0;0.00000;-8;67;20;0;0;0;-1;2780;0;true;true;true;true
66;Gladius;rhand;false;1570;2;2;steel;none;17;10;sword;8;0.00000;0;0;0;379;0;12;-1;54100;0;true;true;true;true
67;Orcish Sword;rhand;false;1570;2;2;steel;none;17;10;sword;8;0.00000;0;0;0;379;0;12;-1;54100;0;true;true;true;true
68;Falchion;rhand;false;1530;2;2;bronze;none;31;10;sword;8;0.00000;0;0;0;379;0;21;-1;187999;0;true;true;true;true
69;Bastard Sword;rhand;true;1510;2;2;fine_steel;d;51;10;sword;8;0.00000;0;0;0;379;0;32;-1;495499;1170;true;true;true;true
70;Claymore;lrhand;true;2090;3;3;fine_steel;d;112;10;bigsword;8;0.00000;0;0;0;325;0;54;-1;1387000;3272;true;true;true;true
71;Flamberge;lrhand;true;2010;2;2;bronze;c;130;10;bigsword;8;0.00000;0;0;0;325;0;61;-1;2290000;916;true;true;true;true
72;Stormbringer;rhand;true;1430;2;2;fine_steel;c;107;10;sword;8;0.00000;0;0;0;379;0;61;-1;2290000;916;true;true;true;true
73;Shamshir;rhand;true;1420;2;2;fine_steel;c;122;10;sword;8;0.00000;0;0;0;379;0;68;-1;2209700;1148;true;true;true;true
74;Katana;rhand;true;1420;2;2;fine_steel;c;122;10;sword;8;0.00000;0;0;0;379;0;68;-1;2209700;1148;true;true;true;true
75;Caliburs;rhand;true;1400;3;3;oriharukon;c;139;10;sword;8;0.00000;0;0;0;379;0;76;-1;3304299;1720;true;true;true;true
76;Sword of Delusion;rhand;true;1400;3;3;mithril;c;139;10;sword;8;0.00000;0;0;0;379;0;76;-1;3304299;1720;true;true;true;true
77;Tsurugi;rhand;true;1400;3;3;fine_steel;c;139;10;sword;8;0.00000;0;0;0;379;0;76;-1;3304299;1720;true;true;true;true
78;Great Sword;lrhand;true;1930;1;1;steel;b;213;10;bigsword;8;0.00000;0;0;0;325;0;91;-1;8680000;1157;true;true;true;true
79;Sword of Damascus;rhand;true;1350;1;1;damascus;b;194;10;sword;8;0.00000;0;0;0;379;0;99;-1;13100000;1746;true;true;true;true
80;Tallum Blade;rhand;true;1330;1;1;adamantaite;a;213;10;sword;8;0.00000;0;0;0;379;0;107;-1;18300000;1464;true;true;true;true
81;Dragon Slayer;lrhand;true;1840;1;1;bone;a;282;10;bigsword;8;0.00000;0;0;0;325;0;114;-1;27000000;2160;true;true;true;true
82;God's Blade;rhand;true;1300;1;1;adamantaite;s;257;10;sword;8;0.00000;0;0;0;379;0;124;-1;38000000;1900;false;false;true;false
83;Sword of Magic;rhand;true;970;2;2;bronze;d;43;10;sword;8;0.00000;0;0;0;379;0;45;-1;550800;1301;true;true;true;true
84;Homunkulus's Sword;rhand;true;950;3;3;blood_steel;c;111;10;sword;8;0.00000;0;0;0;379;0;101;-1;3304299;1720;true;true;true;true
85;Phantom Sword;rhand;true;860;1;1;oriharukon;a;170;10;sword;8;0.00000;0;0;0;379;0;143;-1;18300000;1464;true;true;true;true
86;Tomahawk;rhand;true;1780;2;2;bronze;d;51;20;blunt;4;4.00000;0;0;0;379;0;32;-1;495499;1170;true;true;true;true
87;Iron Hammer;rhand;false;1850;2;2;steel;none;31;20;blunt;4;4.00000;0;0;0;379;0;21;-1;187999;0;true;true;true;true
88;Morning Star;rhand;true;1720;3;3;steel;d;79;20;blunt;4;4.00000;0;0;0;379;0;47;-1;1074000;2545;true;true;true;true
89;Big Hammer;rhand;true;1710;2;2;fine_steel;c;107;20;blunt;4;4.00000;0;0;0;379;0;61;-1;2290000;916;true;true;true;true
90;Goat Head Staff;lrhand;true;1000;3;3;wood;d;77;20;bigblunt;4;4.00000;0;0;0;325;0;63;-1;1074000;2545;true;true;true;true
91;Heavy War Axe;rhand;true;1620;1;1;fine_steel;b;175;20;blunt;4;4.00000;0;0;0;379;0;91;-1;8680000;1157;true;true;true;true
92;Sprite's Staff;lrhand;true;960;1;1;wood;b;170;20;bigblunt;4;4.00000;0;0;0;325;0;122;-1;8680000;1157;true;true;true;true
93;Winged Spear;lrhand;true;2060;3;3;fine_steel;d;79;10;pole;8;-3.00000;0;0;0;325;0;47;-1;1074000;2545;true;true;true;true
94;Bec de Corbin;lrhand;true;2020;2;2;fine_steel;c;122;10;pole;8;-3.00000;0;0;0;325;0;68;-1;2209700;1148;true;true;true;true
95;Poleaxe;lrhand;true;2010;3;3;bronze;c;139;10;pole;8;-3.00000;0;0;0;325;0;76;-1;3304299;1720;true;true;true;true
96;Scythe;lrhand;true;2040;2;2;fine_steel;c;107;10;pole;8;-3.00000;0;0;0;325;0;61;-1;2290000;916;true;true;true;true
97;Lance;lrhand;true;1920;1;1;blood_steel;b;194;10;pole;8;-3.00000;0;0;0;325;0;99;-1;13100000;1746;true;true;true;true
98;Halberd;lrhand;true;1900;1;1;oriharukon;a;213;10;pole;8;-3.00000;0;0;0;325;0;107;-1;18300000;1464;true;true;true;true
